name,address,type,evidence,X,Y,description
銅鑼灣 灣仔文輝墨魚丸大王正宗潮州粉麵,銅鑼灣渣甸街22-24號,食肆,收銀員咒罵示威者，此店早有前科，也打罵六四參加者,0,0,
鰂魚涌 京城/京餃,?魚涌海光街4A-6號地下,食肆,餐廳侍應話學生抵死要拉哂佢地,0,0,
中環 Bitters and Sweets ,中環威靈頓街52-54號Somptueux Central 1樓,食肆,,0,0,
金鐘 BIZOU,金鐘太古廣場地下,食肆,發夢見到12號示威者入太古廣場躲避 餐廳幾個職員叉腰勁惡衝出黎鬧鳩人(無人搞佢d??) 結果幾十個示威者圍佢即刻敗走 有人拍左片既麻煩擺上網 ,0,0,
IFC Glasshouse,中環港景街1號國際金融中心4樓4009號舖,食肆,拒絕讓616穿黑衣示威者入座,0,0,
柴灣 民華餐廳,柴灣環翠道11號興華廣場1樓101-102號舖,食肆,拒絕讓612穿黑衣示威者入座 用惡劣態度對黑衣食客 (特別為年青人),0,0,
西環 666泰船面,西環石塘咀德輔道西366號中亞大樓地舖,食肆,facebook 鬧學生，話示威者咁都得，打劫應該唔犯法，不如去衝擊匯豐,0,0,
幸福堂,銅鑼灣渣甸街36號地下1號舖,食肆,其中主要股東為親中藍絲，在其IG於2019年6月12日 / 7月1日 公開支持黑警暴力清場,0,0,
灣仔美味天皇,灣仔謝斐道148號地下A舖,食肆,樓面員工批評起底手法， 批評義士,0,0,
鰂魚涌 京城 餃子店,鰂魚涌海光街4A-6號地下,食肆,https://lihkg.com/thread/1215706/page/36,0,0,#881樓
蘇杭冰室,上環蘇杭街3號地舖,食肆,5 年前個老細已經睇住電視， 大大聲話學生搞事,0,0,
山崎麵包(全線),,食肆,佢地話?學生係收錢去612去遊行係暴徒阻住地球轉，呢?少數人唔代表佢地。另一個男人話如果佢前兩日要去稅局，?學生阻住佢的話，就會大巴大巴咁摑落佢地度摑醒佢地。仲話班大學生無腦抵佢地612比警察打。佢地話今次佔中影響佢地生意，佢地鋪頭賺少左，又搞到少左大陸人幫襯。,0,0,
元朗 彩晶軒,元朗港鐵元朗站26號舖,食肆,我?話買外賣拎走話無，仲等?勁耐先送來，?警察來就立即有仲係外賣?,0,0,
元朗 成記茶寮,元朗建業街街市地下C8號舖,大排檔,,0,0,
元朗 牛腩牛什粉麵家,元朗康景街利景樓5號地下,食肆,,0,0,
元朗 金記燒臘餐廳,元朗水車館街66號地鋪,食肆,佔中期間同fd去買叉燒排隊中途問fd食左幾多粒催淚彈，辛唔辛苦等，排到問最少可以買幾多錢叉燒，個老闆娘答$50，我地照買左返屋企，比屋企人鬧話個量得$20，而且平時最少係可以買$20已經係我地個日買到既量黎。,0,0,
大埔 Ztore,港鐵大埔墟站 A1 出口， 步行約10分鐘,網店,https://lih.kg/1216420,0,0,
大埔 凌治會計管理有限公司,新界大埔廣福道33號美德大廈2字樓D & E2室,會計,請假去3罷，冇話唔比但諸多說話,0,0,
大埔 卓譽潛能教育中心,新界大埔榮暉商場4號地舖,補習社,,0,0,
大埔 大日子酒家有限公司,新界大埔運頭街12-18號美華大廈一樓,食肆,紅底,0,0,
大埔 撈一番,大埔安泰路1號大埔廣場2樓,食肆,聽到店主話支持送中 然後買緊個客立即話唔買,0,0,
大埔 日,大埔寶湖里一號,食肆,反對示威者行為，支持送中,0,0,
大埔 溢泉茶餐廳,大埔同秀坊1號地舖,食肆,同紅橋餐廳同一老闆,0,0,
大埔 紅橋餐廳,大埔廣福道123號地舖,食肆,Facebook Link,0,0,
大埔 翠河,大埔安慈路1號海寶花園10號舖,食肆,,0,0,
大埔 萬芳冰室,大埔寶湖道1號富盈門商場地下2號舖,食肆,紅底.民建聯集團,0,0,
大埔 陸宜居茶餐廳,大埔靖遠街43號,食肆,親耳聽到個廚同班中年客罵美國佬搞搞震,0,0,
屯門 新利大藥房,新界屯門鄉事會路94-110號康利中心地下21號舖,藥房,Facebook Link,0,0,
屯門 榮式燒雞扒,屯隆街2號屯門時代廣場北翼地下25-26號舖,食肆,https://lihkg.com/thread/1215441/page/1,0,0,
沙田 凌治會計管理有限公司,沙田石門安群路一號 京瑞廣場二期5樓C 室,會計,,0,0,
沙田圍 九份十分,沙田大涌橋路20號,食肆,見到個做廚房仔?後生疑似比個經理話收?錢去“暴動” ，即時劈砲走人,0,0,
沙田龍華酒店,沙田下禾輋22號 (老闆在Facebook大力支持警察動武）,食肆,https://www.facebook.com/lungwahhotel,0,0,
馬鞍山耀安邨家家好,馬鞍山耀安邨耀和樓地下,超市,親民建聯團體開辦,0,0,
粉嶺 欽記麵家,新界粉嶺聯和墟和豐街和豐閣3號,食肆,店東咒罵後生仔，店內貼有店主與689合照，相當陰質,0,0,
葵涌 太子小廚餐廳,葵涌青山公路432號至436號A1至B1舖,食肆,https://www.facebook.com/870553052966258/posts/2438819382806276/,0,0,
葵芳 萌記牛什麵家,葵芳信芳路186號地下A1號舖,食肆,,0,0,
馬鞍山 譚仔,馬鞍山廣場二樓266-268號舖,食肆,,0,0,
屯門市廣場,新界屯門屯順街 1 號,商場,https://lihkg.com/thread/838946/page/2 ,0,0,#33樓
全港 養心殿火鍋,石門京瑞廣場一期喜運點心專門店地下30C附近0,食肆,遊行完第二日聽班呀姐話後生仔收左錢，邊有一百萬咁多,0,0,
牛頭角 鴻圖樓 茶餐廳,牛頭角鴻圖道30號地下,食肆,612當日伙記睇住CCTVB不停在食肆內周圍大叫要出動解放軍鎮壓,0,0,
深井陳記燒鵝,將軍澳唐賢街19號天晉匯II期1樓127號舖，另外有八間分店，包括深井陳記商業中心地下A舖、深井青山公路深井村63號地下、中環德己立街18號業豐大廈2樓208室、旺角新填地街427-427A號、油塘高超道38號大本型3樓大食代308-312號舖、土瓜灣馬頭角道33欣榮花園商場地下13-14號舖、荃灣荃灣街市街27號地舖、旺角新填地街393號地舖,食肆,17/6 下午三時左右 員工和顧客批評學生被洗腦 逢中必反 不斷抹黑和中傷， 然而店員卻說對引渡條例的內容一無所知，又稱自己「讀得書少」,0,0,
桂記雲吞麵,荃灣眾安街87號,食肆,六月十幾號有班中老年人士於店內享用食物，途中不斷抹黑及人身攻擊年輕人，店員和應叫好,0,0,
幸福堂,荃灣路德圍26-42號安富大廈地下4C號舖,食肆,其中主要股東為親中藍絲，在其IG於2019年6月12日 / 7月1日 公開支持黑警暴力清場,0,0,
幸福堂,元朗阜財街2號宏豐大廈地下11D號舖,食肆,其中主要股東為親中藍絲，在其IG於2019年6月12日 / 7月1日 公開支持黑警暴力清場,0,0,
The Grove Taiwanese Cafe,大圍田心村269號地下,食肆,https://lihkg.com/thread/1281230/page/1,0,0,
The Grove Taiwanese Cafe,石門京瑞廣場一期1樓152,食肆,https://lihkg.com/thread/1281230/page/1,0,0,
陳根記,沙田石門安群街3號京瑞廣場二期地下五號舖,食肆,https://lihkg.com/thread/1340835/page/1,0,0,
天水圍家樂軒小廚,天水圍天瑞路88號俊宏軒商場地下G04號舖,食肆,https://lihkg.com/thread/1351279/page/1,0,0,
鄭榮記,荃灣柴灣角街柴灣角熟食市場地下30-31舖,食肆,https://lihkg.com/thread/1352828/page/1,0,0,
Pokka Cafe旗下， 國際天食集團,,食肆,PokkaCafe 旗下食店 尋日(9/6)話請假果d都會炒,0,0,
Pokka Cafe旗下， 國際天食集團,,食肆,PokkaCafe 旗下食店 尋日(9/6)話請假果d都會炒,0,0,
Pokka Cafe旗下， 國際天食集團,,食肆,PokkaCafe 旗下食店 尋日(9/6)話請假果d都會炒,0,0,
Pokka Cafe旗下， 國際天食集團,,食肆,Pokka Cafe俾國際天食集團收?，國際天食集團大股東係中國商人王慧敏,0,0,
Initial fashion,,時裝,Initial老闆投左共，大陸大把分店話唔比放假。放假要記名提同事不要cold call 要追好條數以家好多前線好撚火滾,0,0,www.initialfashion.com
老虎堂 珍珠奶茶,,食肆,啊老虎堂老闆你係咪飲珍珠鮮奶飲到傻左 https://lihkg.com/thread/1215175/page/1(灣仔修頓分店 有支持反送中， 以供參考),0,0,
APS,,汽槍牌子,老闆當年佔旺藍絲之一， 2014年10月3日，伙同黑社會到旺角區非法毆打和平學生及市民。https://www.facebook.com/cannonhit2/posts/713132658818624,0,0,
幸福堂 (香港特許經營權分店),,,其中主要股東為親中藍絲，在其IG於2019年6月12日 / 7月1日 公開支持黑警暴力清場,0,0,
Lark Group ,,售票,集團命令唔比罷工,0,0,www.cityline.com
Lark Group ,,戲院,集團命令唔比罷工,0,0,
Lark Group ,,餐飲/零售,集團命令唔比罷工,0,0,
Lark Group ,九龍灣宏照道38號MegaBox 11樓12號舖,食肆,集團命令唔比罷工,0,0,http://www.lark.com.hk/en/madisons/index.html
Lark Group ,九龍灣宏照道38號MegaBox 11樓9號舖,食肆,集團命令唔比罷工,0,0,
Lark Group ,1. 西營盤高街48-78號恆陞大樓12號舖  2.香港銅鑼灣禮頓道64號地下 3.九龍灣牛頭角道77號淘大商場第三期UA戲院地下4.九龍亞皆老街102號The Argyle 地下G01號舖,食肆,集團命令唔比罷工,0,0,
伊滕家,,零售,老闆同大部份員工係藍絲,0,0,
深井陳記燒鵝,將軍澳唐賢街19號天晉匯II期1樓127號舖，另外有八間分店， 包括深井陳記商業中心地下A舖、深井青山公路深井村63號地下、 中環德己立街18號業豐大廈2樓208室、旺角新填地街427-427A號、油塘高超道38號大本型3樓大食代308-312號舖、土瓜灣馬頭角道33欣榮花園商場地下13-14號舖、荃灣荃灣街市街27號地舖、旺角新填地街393號地舖,,17/6 下午三時左右 員工和顧客批評學生被洗腦 逢中必反 不斷抹黑和中傷， 然而店員卻說對引渡條例的內容 一無所知，又稱自己「讀得書少」,0,0,
樓上集團樓上燕窩莊集團僑陽信聯集團中國元素集團,www.hkjebn.com,,老闆為藍絲，其臉書於2017年6月17日分享民建聯貼文。另HR部門禁止員工罷工及討論反送中活動,0,0,www.hkjebn.com
華記茶餐廳,日本/上海,,老細係超級藍絲楊官華,0,0,
吉野家(香港),,,(合興集團)老闆公開表示撐警， 參與暴力藍絲集會， 及與 反黑警廣告(公關)公司 解約,0,0,
超羣麵包西餅,,,(合興集團)老闆公開表示撐警， 參與暴力藍絲集會， 及與 反黑警廣告(公關)公司 解約,0,0,
香港養心殿台式養生鍋,,,老闆撐警，撐送中， 反遊行反示威， 發聲明扮中立https://lihkg.com/thread/1220224/page/1 AND https://lihkg.com/thread/1313627/page/1,0,0,
嘉. 日本燒肉,,,同屬香港養心殿飲食集團,0,0,
養心麵,,,同屬香港養心殿飲食集團,0,0,
（全線）大師傳粥品,,大圍道59號金昌樓地下,全部股東反佔中及撐警，其中大股東更是前警員藍絲，車牌仲特意用佢PC時既?巴,0,0,
麥當勞,,全部,中信收購中港麥當勞業務，中信是經鄧小平倡導和批准後，經中華人民共和國國務院批准設立的大型綜合性企業公司,0,0,
Crostini ,,,https://lihkg.com/thread/1353990/page/1,0,0,
燉奶佬餐廳,,九龍旺角西洋菜南街228號地下,老細鄭連校，香港新來港人士服務基金理事,0,0,
SAIZERIYA,元朗馬田路80號御庭居地下8號舖,食肆,13/6 晚飯聽到員工「PING」同其他人講遊行既人都有收錢，佔中果陣都係，佢只係唔得閒先唔去，在場員工都無幫口或者信佢講，另外重有兩個冬菇頭呀嬸同一個後生仔，在場朋友都聽到，想投訴可以SEND FAX去31049939,22.4405289,114.0220276,
金記燒臘餐廳,元朗水車館街66號地鋪,食肆,佔中期間同fd去買叉燒排隊中途問fd食左幾多粒催淚彈，辛唔辛苦等，排到問最少可以買幾多錢叉燒，個老闆娘答$50，我地照買左返屋企，比屋企人鬧話個量得$20，而且平時最少係可以買$20已經係我地個日買到既量黎。,22.4448151,114.0308911,
金記燒臘餐廳,元朗水車館街66號地鋪,食肆,佔中期間同fd去買叉燒排隊中途問fd食左幾多粒催淚彈，辛唔辛苦等，排到問最少可以買幾多錢叉燒，個老闆娘答$50，我地照買左返屋企，比屋企人鬧話個量得$20，而且平時最少係可以買$20已經係我地個日買到既量黎。,22.4448151,114.0308911,
Ztore,港鐵大埔墟站 A1 出口， 步行約10分鐘,網店,https://lih.kg/1216420,22.44429,114.170243,
撈一番,大埔安泰路1號大埔廣場2樓,食肆,聽到店主話支持送中 然後買緊個客立即話唔買,22.452909,114.170445,
日溢中西美食,大埔寶湖里一號,食肆,反對示威者行為，支持送中,22.4501205,114.1681204,
溢泉茶餐廳,大埔同秀坊1號地舖,食肆,同紅橋餐廳同一老闆,22.449008,114.168207,
紅橋餐廳,大埔廣福道123號地舖,食肆,https://www.facebook.com/groups/TaipoTaipo/permalink/10162017490055245/?app=fbl,22.448192,114.16837,
翠河,大埔安慈路1號海寶花園10號舖,食肆,,22.4533933,114.1667183,
萬芳冰室,大埔寶湖道1號富盈門商場地下2號舖,食肆,紅底.民建聯集團,22.4496045,114.1672979,
陸宜居茶餐廳,大埔靖遠街43號,食肆,親耳聽到個廚同班中年客罵美國佬搞搞震,22.449113,114.164964,
新利大藥房,新界屯門鄉事會路94-110號康利中心地下21號舖,藥房,屯門街坊：頭先我同幾位朋友去圖中?新利大藥房詢問有沒有生理鹽水買，點知藥房個職員定唔知老細同我地態度好差咁講有都唔買俾我地，要買就俾身分證。我明白藥房係有權利唔買，但呢個係咩態度？  (Source :    https://www.facebook.com/587874824557675/posts/2577818358896635/    ,22.397564,113.975137,
榮式燒雞扒,屯隆街2號屯門時代廣場北翼地下25-26號舖,食肆,https://lihkg.com/thread/1215441/page/1,22.3930316,113.9755675,
喜運點心專門店,石門京瑞廣場一期喜運點心專門店地下30C附近,食肆,,22.3876539,114.2080941,
萌記牛什麵家,葵芳信芳路186號地下A1號舖,食肆,,22.3578109,114.1298151,
譚仔,馬鞍山廣場二樓266-268號舖,食肆,遊行完第二日聽班呀姐話後生仔收左錢，邊有一百萬咁多,22.4257177,114.2311195,
西記粥品,黃大仙環鳳街26號地舖,食肆,唔知係伙記定老闆娘，一路睇cctvb一路鬧示威者廢青。,22.3437596,114.1982536,
景霖廚房(前稱麥記),紅磡寶其利街73號A舖,食肆,69之前曾經親耳聽到樓面同收銀一日最衰都係佔中(2019年喇dllm仲佔中),22.3068648,114.1859452,
木蘭館,石硤尾偉智里1-3號白田購物中心地下5號舖,食肆,,22.3349604,114.1669223,
Lei Sure,油麻地眾坊街59號C舖,食肆,奶共cafe,22.3099238,114.1690076,
通達食店,香港旺角旺角花園街172號地下,食肆,https://lihkg.com/thread/1215706/page/1,22.3222452,114.1707015,
紅茶,旺角彌敦道594-596號地舖,食肆,12/6去食早餐親耳聽到個待應同其他伙記話我地班學生收?人錢今日又開工啦，搞亂香港，俾狗打抵死啦,22.316221,114.1702936,
紅磡冰室,香港尖沙咀金馬倫道38號,食肆,Rose Ma FB / IG,22.2989946,114.1747523,
新聯威茶餐廳,尖沙咀山林道18號,食肆,,22.3025625,114.1730687,
睿居酒屋,大坑安庶庇街6號,食肆,,22.2790346,114.1920415,
偉利模型,灣仔 灣仔道221 ,零售,,22.2777525,114.1793154,
喜記辣蟹,灣仔謝斐道379號,食肆,那有錢 你老母,22.2800245,114.1797682,
精英電器,灣仔 汕頭街5-7,零售,,22.2752794,114.1714671,
三葉屋,北角炮台山宏安道18號威徳閣地下8號舖,食肆,尋晚同朋友去完金鐘去食飯個侍應聽到隔離?講緊件事就大大聲講班學生收左錢搞事,22.2883081,114.1919364,
潮苑餐廳,西環石塘咀屈地街44號地下,食肆,,22.286247,114.136455,
皇后中西藥房有限公司,西營盤皇后大道西291號地舖,藥房,,22.2870415,114.1424122,
成興粥品,西環德輔道西408號地下D鋪,食肆,,22.286549,114.136238,
蓮園粥麵小廚,跑馬地成和道51A號地下D舖,食肆,個老闆娘同個大聲女人超大聲話學生收?特朗普錢，每人1800蚊。,22.2685807,114.186549,
Outback Steakhouse,銅鑼灣百德新街22-36號翡翠明珠廣場二樓,食肆,去遊行結果比老細炒？？ - 分享自 LIHKG 討論區 https://lih.kg/1204488,22.2808808,114.1858639,
樂心冰室,銅鑼灣渣甸街54-58號地下,食肆,尋日諗住休一休息去搵D野食，一班人?黑衫入去食食完走左之後先有朋友話聽到D員工細細聲同其他員工講話我地應該係金鐘過黎，仲聽到班員工傾計話金鐘班人比人打死就?架喇如果一早知班撚樣咁講野實即刻屌柒班垃圾侍應再拉隊走人 (當事人PO左IG 可以睇suen_momo ig),22.2793349,114.1858059,
灣仔文輝墨魚丸大王正宗潮州粉麵,銅鑼灣渣甸街22-24號,食肆,,22.2797858,114.1850373,
京城/京餃,?魚涌海光街4A-6號地下,食肆,餐廳侍應話學生抵死要拉哂佢地,22.2881594,114.2107317,
Bitters and Sweets,中環威靈頓街52-54號Somptueux Central 1樓,食肆,,22.281856,114.1553265,
Initial fashion,,時裝,Initial老闆投左共，大陸大把分店話唔比放假。放假要記名提同事不要cold call 要追好條數以家好多前線好撚火滾,0,0,www.initialfashion.com
